Scenario,Watershed,LocationType,BMPType,SubArea,Year,Soil moisture onsite,ET onsite,Groundwater recharge onsite,Runoff onsite,TSS onsite,DN onsite,PN onsite,TN onsite,DP onsite,PP onsite,TP onsite,Soil carbon onsite,Biodiversity onsite,Runoff offsite,TSS offsite,DN offsite,PN offsite,TN offsite,DP offsite,PP offsite,TP offsite,BMP cost
Existing,Sample watershed,SubArea,MI48H,29,2001,-999,-999,-999,-999,-1.58,-1.49,-4.2,-2.57,-1.52,-4.08,-3.23,2.94,-999,-60.73,-0.1,-0.09,-0.26,-0.16,-0.09,-0.25,-0.2,36.56
Conventional,Sample watershed,SubArea,MI48H,29,2002,-999,-999,-999,-999,-1.56,-1.46,-3.92,-2.44,-1.55,-4.2,-3.32,3.15,-999,-60.73,-0.09,-0.09,-0.24,-0.15,-0.09,-0.26,-0.2,45.66
Existing,Sample watershed,SubArea,MI48H,29,2002,-999,-999,-999,-999,-1.52,-1.46,-3.96,-2.46,-1.52,-4.2,-3.31,3.09,-999,-60.73,-0.09,-0.09,-0.24,-0.15,-0.09,-0.26,-0.2,48.35
Conventional,Sample watershed,SubArea,MI48H,29,2003,-999,-999,-999,-999,-1.43,-1.46,-3.88,-2.43,-1.52,-4.16,-3.29,3.15,-999,-60.73,-0.09,-0.09,-0.24,-0.15,-0.09,-0.25,-0.2,34.37
Existing,Sample watershed,SubArea,MI48H,29,2003,-999,-999,-999,-999,-1.43,-1.49,-4.04,-2.51,-1.52,-4.16,-3.29,3.03,-999,-60.73,-0.09,-0.09,-0.25,-0.15,-0.09,-0.25,-0.2,33.17
Conventional,Sample watershed,SubArea,MI48H,29,2004,-999,-999,-999,-999,-1.43,-1.47,-4.2,-2.56,-1.53,-4,-3.18,2.94,-999,-60.73,-0.09,-0.09,-0.26,-0.16,-0.09,-0.24,-0.19,33.3
Existing,Sample watershed,SubArea,MI48H,29,2004,-999,-999,-999,-999,-1.53,-1.53,-3.8,-2.44,-1.55,-4.08,-3.24,2.94,-999,-60.73,-0.09,-0.09,-0.23,-0.15,-0.09,-0.25,-0.2,31.55
Conventional,Sample watershed,SubArea,MI48H,29,2005,-999,-999,-999,-999,-1.56,-1.55,-4.04,-2.54,-1.47,-4,-3.17,2.88,-999,-60.73,-0.09,-0.09,-0.25,-0.15,-0.09,-0.24,-0.19,43.1
Existing,Sample watershed,SubArea,MI48H,29,2005,-999,-999,-999,-999,-1.47,-1.52,-4.2,-2.59,-1.58,-3.84,-3.09,2.91,-999,-60.73,-0.09,-0.09,-0.26,-0.16,-0.1,-0.23,-0.19,35.34
Conventional,Sample watershed,SubArea,MI48H,29,2006,-999,-999,-999,-999,-1.58,-1.5,-4.08,-2.53,-1.5,-3.84,-3.07,3.15,-999,-60.73,-0.1,-0.09,-0.25,-0.15,-0.09,-0.23,-0.19,39.16
Existing,Sample watershed,SubArea,MI48H,29,2006,-999,-999,-999,-999,-1.46,-1.49,-3.92,-2.46,-1.55,-4.08,-3.24,2.97,-999,-60.73,-0.09,-0.09,-0.24,-0.15,-0.09,-0.25,-0.2,35.1
Conventional,Sample watershed,SubArea,MI48H,29,2007,-999,-999,-999,-999,-1.58,-1.52,-4.12,-2.56,-1.49,-4.2,-3.3,3.12,-999,-60.73,-0.1,-0.09,-0.25,-0.16,-0.09,-0.26,-0.2,36.15
Existing,Sample watershed,SubArea,MI48H,29,2007,-999,-999,-999,-999,-1.46,-1.53,-3.8,-2.44,-1.5,-3.8,-3.04,2.97,-999,-60.73,-0.09,-0.09,-0.23,-0.15,-0.09,-0.23,-0.18,43.63
Conventional,Sample watershed,SubArea,MI48H,29,2008,-999,-999,-999,-999,-1.47,-1.55,-3.8,-2.45,-1.5,-4.04,-3.2,3.03,-999,-60.73,-0.09,-0.09,-0.23,-0.15,-0.09,-0.25,-0.19,38.93
Existing,Sample watershed,SubArea,MI48H,29,2008,-999,-999,-999,-999,-1.49,-1.53,-3.96,-2.5,-1.43,-4.04,-3.18,3.03,-999,-60.73,-0.09,-0.09,-0.24,-0.15,-0.09,-0.25,-0.19,38.24
Conventional,Sample watershed,SubArea,MI48H,29,2009,-999,-999,-999,-999,-1.44,-1.46,-3.88,-2.43,-1.55,-3.8,-3.06,2.97,-999,-60.73,-0.09,-0.09,-0.24,-0.15,-0.09,-0.23,-0.19,34.55
Existing,Sample watershed,SubArea,MI48H,29,2009,-999,-999,-999,-999,-1.53,-1.44,-3.88,-2.42,-1.52,-3.96,-3.15,3.15,-999,-60.73,-0.09,-0.09,-0.24,-0.15,-0.09,-0.24,-0.19,38.34
Conventional,Sample watershed,SubArea,MI48H,29,2010,-999,-999,-999,-999,-1.49,-1.44,-4.2,-2.54,-1.55,-4.04,-3.22,2.91,-999,-60.73,-0.09,-0.09,-0.26,-0.15,-0.09,-0.25,-0.2,32.85
Existing,Sample watershed,SubArea,MI48H,29,2010,-999,-999,-999,-999,-1.58,-1.55,-3.92,-2.5,-1.49,-4.12,-3.25,2.88,-999,-60.73,-0.1,-0.09,-0.24,-0.15,-0.09,-0.25,-0.2,32.01
Conventional,Sample watershed,SubArea,MI48H_MASB,1,2001,-999,-999,-999,-999,-2.43,-1.98,-5.76,-3.49,-2,-6,-4.68,1.47,-999,-47.93,-0.12,-0.09,-0.28,-0.17,-0.1,-0.29,-0.22,44.45
Conventional,Sample watershed,SubArea,MI48H_MASB,1,2002,-999,-999,-999,-999,-2.63,-1.96,-6.12,-3.62,-2.04,-5.82,-4.57,1.58,-999,-47.93,-0.13,-0.09,-0.29,-0.17,-0.1,-0.28,-0.22,40.8
Conventional,Sample watershed,SubArea,MI48H_MASB,1,2003,-999,-999,-999,-999,-2.58,-1.9,-5.94,-3.52,-2.02,-5.94,-4.65,1.58,-999,-47.93,-0.12,-0.09,-0.28,-0.17,-0.1,-0.28,-0.22,40.12
Conventional,Sample watershed,SubArea,MI48H_MASB,1,2004,-999,-999,-999,-999,-2.6,-1.9,-6.18,-3.61,-1.98,-5.94,-4.63,1.5,-999,-47.93,-0.12,-0.09,-0.3,-0.17,-0.09,-0.28,-0.22,40.01
Conventional,Sample watershed,SubArea,MI48H_MASB,1,2005,-999,-999,-999,-999,-2.63,-2,-5.88,-3.55,-1.9,-5.82,-4.53,1.44,-999,-47.93,-0.13,-0.1,-0.28,-0.17,-0.09,-0.28,-0.22,36.48
Conventional,Sample watershed,SubArea,MI48H_MASB,1,2006,-999,-999,-999,-999,-2.53,-2.04,-6.3,-3.74,-2.02,-5.88,-4.61,1.44,-999,-47.93,-0.12,-0.1,-0.3,-0.18,-0.1,-0.28,-0.22,49.5
Conventional,Sample watershed,SubArea,MI48H_MASB,1,2007,-999,-999,-999,-999,-2.55,-2,-6,-3.6,-2.06,-5.88,-4.62,1.43,-999,-47.93,-0.12,-0.1,-0.29,-0.17,-0.1,-0.28,-0.22,40.78
Conventional,Sample watershed,SubArea,MI48H_MASB,1,2008,-999,-999,-999,-999,-2.63,-2.1,-6.06,-3.68,-1.9,-6.12,-4.73,1.52,-999,-47.93,-0.13,-0.1,-0.29,-0.18,-0.09,-0.29,-0.23,38.55
Conventional,Sample watershed,SubArea,MI48H_MASB,1,2009,-999,-999,-999,-999,-2.6,-2.1,-5.88,-3.61,-2.08,-5.94,-4.67,1.53,-999,-47.93,-0.12,-0.1,-0.28,-0.17,-0.1,-0.28,-0.22,37.16
Conventional,Sample watershed,SubArea,MI48H_MASB,1,2010,-999,-999,-999,-999,-2.4,-1.9,-5.88,-3.49,-2.04,-6.3,-4.89,1.43,-999,-47.93,-0.12,-0.09,-0.28,-0.17,-0.1,-0.3,-0.23,48.84
Conventional,Sample watershed,SubArea,MI48H_MASB,2,2001,-999,-999,-999,-999,-2.58,-1.98,-6.18,-3.66,-1.92,-6.12,-4.73,1.56,-999,-6.98,-0.02,-0.01,-0.04,-0.03,-0.01,-0.04,-0.03,7.47
Conventional,Sample watershed,SubArea,MI48H_MASB,2,2002,-999,-999,-999,-999,-2.63,-2.1,-6.18,-3.73,-2.04,-5.76,-4.53,1.56,-999,-6.98,-0.02,-0.01,-0.04,-0.03,-0.01,-0.04,-0.03,5.32
Conventional,Sample watershed,SubArea,MI48H_MASB,2,2003,-999,-999,-999,-999,-2.58,-1.96,-5.88,-3.53,-1.9,-5.94,-4.61,1.52,-999,-6.98,-0.02,-0.01,-0.04,-0.02,-0.01,-0.04,-0.03,5.21
Conventional,Sample watershed,SubArea,MI48H_MASB,2,2004,-999,-999,-999,-999,-2.53,-1.96,-5.76,-3.48,-1.9,-6.06,-4.69,1.52,-999,-6.98,-0.02,-0.01,-0.04,-0.02,-0.01,-0.04,-0.03,5.37
Conventional,Sample watershed,SubArea,MI48H_MASB,2,2005,-999,-999,-999,-999,-2.53,-2.02,-6.18,-3.68,-2.02,-5.7,-4.49,1.5,-999,-6.98,-0.02,-0.01,-0.04,-0.03,-0.01,-0.04,-0.03,6.96
Conventional,Sample watershed,SubArea,MI48H_MASB,2,2006,-999,-999,-999,-999,-2.48,-1.98,-5.88,-3.54,-2.08,-6.24,-4.87,1.47,-999,-6.98,-0.02,-0.01,-0.04,-0.02,-0.01,-0.04,-0.03,5.85
Conventional,Sample watershed,SubArea,MI48H_MASB,2,2007,-999,-999,-999,-999,-2.38,-2.1,-6.12,-3.71,-2,-6.3,-4.88,1.5,-999,-6.98,-0.02,-0.01,-0.04,-0.03,-0.01,-0.04,-0.03,6.82
Conventional,Sample watershed,SubArea,MI48H_MASB,2,2008,-999,-999,-999,-999,-2.4,-2.06,-5.94,-3.61,-2.1,-5.82,-4.59,1.52,-999,-6.98,-0.02,-0.01,-0.04,-0.03,-0.01,-0.04,-0.03,6.74
Conventional,Sample watershed,SubArea,MI48H_MASB,2,2009,-999,-999,-999,-999,-2.45,-2.02,-6.06,-3.64,-2,-6,-4.68,1.5,-999,-6.98,-0.02,-0.01,-0.04,-0.03,-0.01,-0.04,-0.03,6.08
Conventional,Sample watershed,SubArea,MI48H_MASB,2,2010,-999,-999,-999,-999,-2.55,-1.98,-6.3,-3.71,-1.98,-5.76,-4.51,1.44,-999,-6.98,-0.02,-0.01,-0.04,-0.03,-0.01,-0.04,-0.03,6.49
Conventional,Sample watershed,SubArea,MI48H_MASB,11,2001,-999,-999,-999,-999,-2.6,-1.9,-5.88,-3.49,-2.04,-6.18,-4.81,1.53,-999,-61.76,-0.16,-0.12,-0.36,-0.22,-0.13,-0.38,-0.3,48.21
Existing,Sample watershed,SubArea,MI48H_MASB,11,2001,-999,-999,-999,-999,-2.58,-2.08,-6.18,-3.72,-1.98,-6.12,-4.75,1.58,-999,-61.76,-0.16,-0.13,-0.38,-0.23,-0.12,-0.38,-0.29,58.78
Conventional,Sample watershed,SubArea,MI48H_MASB,11,2002,-999,-999,-999,-999,-2.53,-2.06,-6.12,-3.68,-2.1,-6,-4.71,1.49,-999,-61.76,-0.16,-0.13,-0.38,-0.23,-0.13,-0.37,-0.29,54.2
Existing,Sample watershed,SubArea,MI48H_MASB,11,2002,-999,-999,-999,-999,-2.5,-1.9,-6.3,-3.66,-2.08,-6.3,-4.91,1.44,-999,-61.76,-0.15,-0.12,-0.39,-0.23,-0.13,-0.39,-0.3,50.97
Conventional,Sample watershed,SubArea,MI48H_MASB,11,2003,-999,-999,-999,-999,-2.63,-2.02,-5.76,-3.52,-2,-5.82,-4.56,1.46,-999,-61.76,-0.16,-0.12,-0.36,-0.22,-0.12,-0.36,-0.28,45.67
Existing,Sample watershed,SubArea,MI48H_MASB,11,2003,-999,-999,-999,-999,-2.55,-1.9,-5.7,-3.42,-2.02,-5.94,-4.65,1.56,-999,-61.76,-0.16,-0.12,-0.35,-0.21,-0.12,-0.37,-0.29,64.35
Conventional,Sample watershed,SubArea,MI48H_MASB,11,2004,-999,-999,-999,-999,-2.43,-1.98,-6.18,-3.66,-1.94,-5.76,-4.5,1.47,-999,-61.76,-0.15,-0.12,-0.38,-0.23,-0.12,-0.36,-0.28,56.75
Existing,Sample watershed,SubArea,MI48H_MASB,11,2004,-999,-999,-999,-999,-2.45,-2.04,-6.3,-3.74,-2.02,-5.88,-4.61,1.53,-999,-61.76,-0.15,-0.13,-0.39,-0.23,-0.12,-0.36,-0.28,59.8
Conventional,Sample watershed,SubArea,MI48H_MASB,11,2005,-999,-999,-999,-999,-2.43,-2.02,-5.76,-3.52,-1.98,-5.7,-4.47,1.47,-999,-61.76,-0.15,-0.12,-0.36,-0.22,-0.12,-0.35,-0.28,59.73
Existing,Sample watershed,SubArea,MI48H_MASB,11,2005,-999,-999,-999,-999,-2.55,-2.02,-5.76,-3.52,-2.08,-6.3,-4.91,1.53,-999,-61.76,-0.16,-0.12,-0.36,-0.22,-0.13,-0.39,-0.3,67.96
Conventional,Sample watershed,SubArea,MI48H_MASB,11,2006,-999,-999,-999,-999,-2.38,-2.04,-6.12,-3.67,-2,-6,-4.68,1.49,-999,-61.76,-0.15,-0.13,-0.38,-0.23,-0.12,-0.37,-0.29,48.61
Existing,Sample watershed,SubArea,MI48H_MASB,11,2006,-999,-999,-999,-999,-2.4,-2.06,-6.18,-3.71,-1.94,-6.18,-4.78,1.46,-999,-61.76,-0.15,-0.13,-0.38,-0.23,-0.12,-0.38,-0.3,60.89
Conventional,Sample watershed,SubArea,MI48H_MASB,11,2007,-999,-999,-999,-999,-2.6,-2,-6.3,-3.72,-1.9,-6.06,-4.69,1.52,-999,-61.76,-0.16,-0.12,-0.39,-0.23,-0.12,-0.37,-0.29,57.38
Existing,Sample watershed,SubArea,MI48H_MASB,11,2007,-999,-999,-999,-999,-2.55,-2.02,-5.76,-3.52,-2.02,-6.12,-4.77,1.55,-999,-61.76,-0.16,-0.12,-0.36,-0.22,-0.12,-0.38,-0.29,59.53
Conventional,Sample watershed,SubArea,MI48H_MASB,11,2008,-999,-999,-999,-999,-2.58,-2,-5.88,-3.55,-2.02,-6.12,-4.77,1.55,-999,-61.76,-0.16,-0.12,-0.36,-0.22,-0.12,-0.38,-0.29,70.14
Existing,Sample watershed,SubArea,MI48H_MASB,11,2008,-999,-999,-999,-999,-2.5,-2,-6,-3.6,-2.04,-6.12,-4.77,1.43,-999,-61.76,-0.15,-0.12,-0.37,-0.22,-0.13,-0.38,-0.3,57.25
Conventional,Sample watershed,SubArea,MI48H_MASB,11,2009,-999,-999,-999,-999,-2.38,-2.1,-6,-3.66,-1.94,-5.94,-4.62,1.5,-999,-61.76,-0.15,-0.13,-0.37,-0.23,-0.12,-0.37,-0.29,49.7
Existing,Sample watershed,SubArea,MI48H_MASB,11,2009,-999,-999,-999,-999,-2.63,-2.02,-6.18,-3.68,-2.08,-5.94,-4.67,1.44,-999,-61.76,-0.16,-0.12,-0.38,-0.23,-0.13,-0.37,-0.29,66.93
Conventional,Sample watershed,SubArea,MI48H_MASB,11,2010,-999,-999,-999,-999,-2.45,-2.04,-6.24,-3.72,-2.1,-6.06,-4.75,1.43,-999,-61.76,-0.15,-0.13,-0.39,-0.23,-0.13,-0.37,-0.29,51.72
Existing,Sample watershed,SubArea,MI48H_MASB,11,2010,-999,-999,-999,-999,-2.58,-2.08,-6.12,-3.7,-1.9,-5.76,-4.49,1.52,-999,-61.76,-0.16,-0.13,-0.38,-0.23,-0.12,-0.36,-0.28,47.15
Conventional,Sample watershed,SubArea,MI48H_MASB,12,2001,-999,-999,-999,-999,-2.55,-1.96,-5.7,-3.46,-1.92,-6,-4.65,1.43,-999,-57.71,-0.15,-0.11,-0.33,-0.2,-0.11,-0.35,-0.27,45.16
Existing,Sample watershed,SubArea,MI48H_MASB,12,2001,-999,-999,-999,-999,-2.63,-2.08,-6.06,-3.67,-2.1,-6.24,-4.87,1.5,-999,-57.71,-0.15,-0.12,-0.35,-0.21,-0.12,-0.36,-0.28,52.37
Conventional,Sample watershed,SubArea,MI48H_MASB,12,2002,-999,-999,-999,-999,-2.45,-2.06,-6.06,-3.66,-1.92,-6.12,-4.73,1.52,-999,-57.71,-0.14,-0.12,-0.35,-0.21,-0.11,-0.35,-0.27,56.88
Existing,Sample watershed,SubArea,MI48H_MASB,12,2002,-999,-999,-999,-999,-2.58,-1.9,-5.7,-3.42,-2.1,-6,-4.71,1.46,-999,-57.71,-0.15,-0.11,-0.33,-0.2,-0.12,-0.35,-0.27,44.11
Conventional,Sample watershed,SubArea,MI48H_MASB,12,2003,-999,-999,-999,-999,-2.43,-1.96,-6.06,-3.6,-2.02,-6,-4.69,1.47,-999,-57.71,-0.14,-0.11,-0.35,-0.21,-0.12,-0.35,-0.27,61.19
Existing,Sample watershed,SubArea,MI48H_MASB,12,2003,-999,-999,-999,-999,-2.53,-1.94,-5.94,-3.54,-2,-5.76,-4.52,1.52,-999,-57.71,-0.15,-0.11,-0.34,-0.2,-0.12,-0.33,-0.26,50.12
Conventional,Sample watershed,SubArea,MI48H_MASB,12,2004,-999,-999,-999,-999,-2.63,-1.9,-5.82,-3.47,-1.92,-6,-4.65,1.43,-999,-57.71,-0.15,-0.11,-0.34,-0.2,-0.11,-0.35,-0.27,60.76
Existing,Sample watershed,SubArea,MI48H_MASB,12,2004,-999,-999,-999,-999,-2.53,-2.06,-5.7,-3.52,-2,-6,-4.68,1.49,-999,-57.71,-0.15,-0.12,-0.33,-0.2,-0.12,-0.35,-0.27,43.8
Conventional,Sample watershed,SubArea,MI48H_MASB,12,2005,-999,-999,-999,-999,-2.53,-1.94,-6.18,-3.64,-2.1,-5.88,-4.63,1.43,-999,-57.71,-0.15,-0.11,-0.36,-0.21,-0.12,-0.34,-0.27,48.71
Existing,Sample watershed,SubArea,MI48H_MASB,12,2005,-999,-999,-999,-999,-2.38,-1.94,-5.94,-3.54,-2.06,-6.12,-4.78,1.53,-999,-57.71,-0.14,-0.11,-0.34,-0.2,-0.12,-0.35,-0.28,57.44
Conventional,Sample watershed,SubArea,MI48H_MASB,12,2006,-999,-999,-999,-999,-2.6,-2.02,-5.94,-3.59,-1.96,-5.7,-4.47,1.46,-999,-57.71,-0.15,-0.12,-0.34,-0.21,-0.11,-0.33,-0.26,56.76
Existing,Sample watershed,SubArea,MI48H_MASB,12,2006,-999,-999,-999,-999,-2.43,-2.1,-5.76,-3.56,-2.02,-5.94,-4.65,1.53,-999,-57.71,-0.14,-0.12,-0.33,-0.21,-0.12,-0.34,-0.27,51.54
Conventional,Sample watershed,SubArea,MI48H_MASB,12,2007,-999,-999,-999,-999,-2.5,-1.92,-6.12,-3.6,-2.06,-5.76,-4.54,1.46,-999,-57.71,-0.14,-0.11,-0.35,-0.21,-0.12,-0.33,-0.26,42.48
Existing,Sample watershed,SubArea,MI48H_MASB,12,2007,-999,-999,-999,-999,-2.63,-1.9,-6.18,-3.61,-1.96,-5.88,-4.59,1.43,-999,-57.71,-0.15,-0.11,-0.36,-0.21,-0.11,-0.34,-0.26,56.7
Conventional,Sample watershed,SubArea,MI48H_MASB,12,2008,-999,-999,-999,-999,-2.55,-2.06,-6,-3.64,-2.02,-5.82,-4.57,1.44,-999,-57.71,-0.15,-0.12,-0.35,-0.21,-0.12,-0.34,-0.26,63.3
Existing,Sample watershed,SubArea,MI48H_MASB,12,2008,-999,-999,-999,-999,-2.53,-2,-5.76,-3.5,-2,-5.82,-4.56,1.53,-999,-57.71,-0.15,-0.12,-0.33,-0.2,-0.12,-0.34,-0.26,59
Conventional,Sample watershed,SubArea,MI48H_MASB,12,2009,-999,-999,-999,-999,-2.38,-1.9,-6.18,-3.61,-2.04,-6.06,-4.73,1.44,-999,-57.71,-0.14,-0.11,-0.36,-0.21,-0.12,-0.35,-0.27,63.44
Existing,Sample watershed,SubArea,MI48H_MASB,12,2009,-999,-999,-999,-999,-2.45,-2.04,-5.76,-3.53,-1.96,-6.18,-4.79,1.47,-999,-57.71,-0.14,-0.12,-0.33,-0.2,-0.11,-0.36,-0.28,63.06
Conventional,Sample watershed,SubArea,MI48H_MASB,12,2010,-999,-999,-999,-999,-2.45,-1.9,-5.76,-3.44,-1.96,-6,-4.67,1.56,-999,-57.71,-0.14,-0.11,-0.33,-0.2,-0.11,-0.35,-0.27,59.85
Existing,Sample watershed,SubArea,MI48H_MASB,12,2010,-999,-999,-999,-999,-2.6,-2.1,-6.24,-3.76,-2.06,-5.7,-4.5,1.53,-999,-57.71,-0.15,-0.12,-0.36,-0.22,-0.12,-0.33,-0.26,54.58
Conventional,Sample watershed,SubArea,MI48H_MASB,13,2001,-999,-999,-999,-999,-2.6,-2.02,-6,-3.61,-2,-6.3,-4.88,1.44,-999,-13.73,-0.04,-0.03,-0.08,-0.05,-0.03,-0.09,-0.07,13.55
Existing,Sample watershed,SubArea,MI48H_MASB,13,2001,-999,-999,-999,-999,-2.58,-1.9,-5.94,-3.52,-1.94,-6.06,-4.7,1.58,-999,-13.73,-0.04,-0.03,-0.08,-0.05,-0.03,-0.08,-0.06,13.82
Conventional,Sample watershed,SubArea,MI48H_MASB,13,2002,-999,-999,-999,-999,-2.63,-1.96,-6.12,-3.62,-1.94,-5.76,-4.5,1.44,-999,-13.73,-0.04,-0.03,-0.08,-0.05,-0.03,-0.08,-0.06,9.89
Existing,Sample watershed,SubArea,MI48H_MASB,13,2002,-999,-999,-999,-999,-2.58,-2.04,-6.06,-3.65,-2.1,-6.18,-4.83,1.53,-999,-13.73,-0.04,-0.03,-0.08,-0.05,-0.03,-0.08,-0.07,14.08
Conventional,Sample watershed,SubArea,MI48H_MASB,13,2003,-999,-999,-999,-999,-2.38,-2.08,-6.18,-3.72,-2.06,-6.12,-4.78,1.5,-999,-13.73,-0.03,-0.03,-0.08,-0.05,-0.03,-0.08,-0.07,12.22
Existing,Sample watershed,SubArea,MI48H_MASB,13,2003,-999,-999,-999,-999,-2.43,-2.1,-5.7,-3.54,-2.1,-5.76,-4.55,1.43,-999,-13.73,-0.03,-0.03,-0.08,-0.05,-0.03,-0.08,-0.06,10.13
Conventional,Sample watershed,SubArea,MI48H_MASB,13,2004,-999,-999,-999,-999,-2.53,-2.02,-6.06,-3.64,-1.96,-5.88,-4.59,1.43,-999,-13.73,-0.03,-0.03,-0.08,-0.05,-0.03,-0.08,-0.06,12.73
Existing,Sample watershed,SubArea,MI48H_MASB,13,2004,-999,-999,-999,-999,-2.5,-1.94,-6.06,-3.59,-1.96,-6.24,-4.83,1.55,-999,-13.73,-0.03,-0.03,-0.08,-0.05,-0.03,-0.09,-0.07,12.21
Conventional,Sample watershed,SubArea,MI48H_MASB,13,2005,-999,-999,-999,-999,-2.38,-2.1,-6.06,-3.68,-1.94,-6,-4.66,1.43,-999,-13.73,-0.03,-0.03,-0.08,-0.05,-0.03,-0.08,-0.06,14.35
Existing,Sample watershed,SubArea,MI48H_MASB,13,2005,-999,-999,-999,-999,-2.45,-1.94,-6.24,-3.66,-1.98,-5.7,-4.47,1.43,-999,-13.73,-0.03,-0.03,-0.09,-0.05,-0.03,-0.08,-0.06,14.14
Conventional,Sample watershed,SubArea,MI48H_MASB,13,2006,-999,-999,-999,-999,-2.55,-1.94,-6.3,-3.68,-1.96,-6.06,-4.71,1.56,-999,-13.73,-0.04,-0.03,-0.09,-0.05,-0.03,-0.08,-0.06,14.1
Existing,Sample watershed,SubArea,MI48H_MASB,13,2006,-999,-999,-999,-999,-2.5,-2.1,-6.06,-3.68,-2.1,-6.06,-4.75,1.53,-999,-13.73,-0.03,-0.03,-0.08,-0.05,-0.03,-0.08,-0.07,10.71
Conventional,Sample watershed,SubArea,MI48H_MASB,13,2007,-999,-999,-999,-999,-2.63,-2.06,-5.82,-3.56,-1.94,-6.12,-4.74,1.55,-999,-13.73,-0.04,-0.03,-0.08,-0.05,-0.03,-0.08,-0.07,12.64
Existing,Sample watershed,SubArea,MI48H_MASB,13,2007,-999,-999,-999,-999,-2.45,-1.94,-5.82,-3.49,-2,-6.12,-4.76,1.52,-999,-13.73,-0.03,-0.03,-0.08,-0.05,-0.03,-0.08,-0.07,10.73
Conventional,Sample watershed,SubArea,MI48H_MASB,13,2008,-999,-999,-999,-999,-2.53,-2.06,-6.18,-3.71,-1.9,-6.12,-4.73,1.52,-999,-13.73,-0.03,-0.03,-0.08,-0.05,-0.03,-0.08,-0.06,12.08
Existing,Sample watershed,SubArea,MI48H_MASB,13,2008,-999,-999,-999,-999,-2.55,-2.04,-5.7,-3.5,-1.98,-6.24,-4.83,1.52,-999,-13.73,-0.04,-0.03,-0.08,-0.05,-0.03,-0.09,-0.07,15.94
Conventional,Sample watershed,SubArea,MI48H_MASB,13,2009,-999,-999,-999,-999,-2.55,-2.04,-6.18,-3.7,-1.94,-5.82,-4.54,1.47,-999,-13.73,-0.04,-0.03,-0.08,-0.05,-0.03,-0.08,-0.06,10.48
Existing,Sample watershed,SubArea,MI48H_MASB,13,2009,-999,-999,-999,-999,-2.4,-2.06,-5.7,-3.52,-1.98,-6.12,-4.75,1.55,-999,-13.73,-0.03,-0.03,-0.08,-0.05,-0.03,-0.08,-0.07,14.24
Conventional,Sample watershed,SubArea,MI48H_MASB,13,2010,-999,-999,-999,-999,-2.4,-1.9,-5.76,-3.44,-1.94,-5.88,-4.58,1.47,-999,-13.73,-0.03,-0.03,-0.08,-0.05,-0.03,-0.08,-0.06,12.59
Existing,Sample watershed,SubArea,MI48H_MASB,13,2010,-999,-999,-999,-999,-2.63,-1.92,-5.76,-3.46,-1.92,-6.18,-4.77,1.44,-999,-13.73,-0.04,-0.03,-0.08,-0.05,-0.03,-0.08,-0.07,11.42
Conventional,Sample watershed,SubArea,MI48H_MASB,14,2001,-999,-999,-999,-999,-2.43,-1.94,-6,-3.56,-1.98,-6,-4.67,1.46,-999,-166.12,-0.4,-0.32,-1,-0.59,-0.33,-1,-0.78,183.4
Conventional,Sample watershed,SubArea,MI48H_MASB,14,2002,-999,-999,-999,-999,-2.55,-2,-6.12,-3.65,-2.1,-6,-4.71,1.58,-999,-166.12,-0.42,-0.33,-1.02,-0.61,-0.35,-1,-0.78,136.36
Conventional,Sample watershed,SubArea,MI48H_MASB,14,2003,-999,-999,-999,-999,-2.55,-1.94,-6.3,-3.68,-1.92,-5.7,-4.45,1.53,-999,-166.12,-0.42,-0.32,-1.05,-0.61,-0.32,-0.95,-0.74,149.56
Conventional,Sample watershed,SubArea,MI48H_MASB,14,2004,-999,-999,-999,-999,-2.6,-1.96,-5.7,-3.46,-1.98,-6.24,-4.83,1.5,-999,-166.12,-0.43,-0.33,-0.95,-0.57,-0.33,-1.04,-0.8,162.38
Conventional,Sample watershed,SubArea,MI48H_MASB,14,2005,-999,-999,-999,-999,-2.4,-1.9,-6.12,-3.59,-2.02,-6.06,-4.73,1.55,-999,-166.12,-0.4,-0.32,-1.02,-0.6,-0.34,-1.01,-0.79,139.91
Conventional,Sample watershed,SubArea,MI48H_MASB,14,2006,-999,-999,-999,-999,-2.48,-1.98,-5.88,-3.54,-1.9,-5.82,-4.53,1.46,-999,-166.12,-0.41,-0.33,-0.98,-0.59,-0.32,-0.97,-0.75,129.46
Conventional,Sample watershed,SubArea,MI48H_MASB,14,2007,-999,-999,-999,-999,-2.58,-1.96,-6.12,-3.62,-2.08,-5.94,-4.67,1.49,-999,-166.12,-0.43,-0.33,-1.02,-0.6,-0.35,-0.99,-0.78,144.32
Conventional,Sample watershed,SubArea,MI48H_MASB,14,2008,-999,-999,-999,-999,-2.5,-2.04,-6,-3.62,-1.94,-5.76,-4.5,1.47,-999,-166.12,-0.42,-0.34,-1,-0.6,-0.32,-0.96,-0.75,155.62
Conventional,Sample watershed,SubArea,MI48H_MASB,14,2009,-999,-999,-999,-999,-2.43,-2,-5.88,-3.55,-2.04,-5.94,-4.65,1.46,-999,-166.12,-0.4,-0.33,-0.98,-0.59,-0.34,-0.99,-0.77,167.12
